reading images completed in: 0.0336442 seconds.
img 214: Chichi1999_10.jpg score: 0.429571 / 1
img 215: Chichi1999_11.jpg score: 0.919984 / 2
img 216: Chichi1999_12.jpg score: 0.704505 / 1
img 217: Chichi1999_13.jpg score: 0.635362 / 1
img 218: Chichi1999_14.jpg score: 11.3925 / 17
img 219: Chichi1999_15.jpg score: 0.0571485 / 1
img 220: Chichi1999_16.jpg score: 0.0670827 / 1
img 221: Chichi1999_17.jpg score: 0.660528 / 1
img 222: Chichi1999_18.jpg score: 3.75806 / 6
img 223: Chichi1999_19.jpg score: 0.773558 / 2
img 224: YogyakartaInd2006_03.jpg score: 3.48617 / 8
img 225: Chichi1999_20.jpg score: 1.03542 / 2
img 226: Chichi1999_21.jpg score: 3.44498 / 8
img 227: Chichi1999_22.jpg score: 2.58225 / 4
img 228: Chichi1999_23.jpg score: 5.94867 / 10
img 229: Chichi1999_24.jpg score: 2.56345 / 5
img 230: Chichi1999_25.jpg score: 0.669519 / 3
img 231: Chichi1999_26.jpg score: 1.4268 / 6
img 232: Chichi1999_27.jpg score: 0.0335786 / 1
img 233: Chichi1999_28.jpg score: 1.133 / 4
img 234: Chichi1999_29.jpg score: 1.04838 / 3
img 235: Chichi1999_30.jpg score: 0.97184 / 4
img 236: Chichi1999_31.jpg score: 0.632932 / 2
img 237: Chichi1999_32.jpg score: 1.58965 / 4
img 238: Chichi1999_33.jpg score: 2.61283 / 6
img 239: Chichi1999_34.jpg score: 0.734858 / 1
img 240: Duzce1999_01.jpg score: 0.231985 / 2
img 241: Duzce1999_02.jpg score: 0.429791 / 1
img 242: Duzce1999_03.jpg score: 1.04384 / 3
img 243: Gediz1970_01.jpg score: 1.0513 / 3
img 244: Guatemala1976_01.jpg score: 1.53492 / 6
img 245: Guatemala1976_02.jpg score: 0.297704 / 2
img 246: Guatemala1976_03.jpg score: 0.669998 / 1
img 247: Guatemala1976_04.jpg score: 1.51969 / 4
img 248: Guatemala1976_05.jpg score: 1.26266 / 3
img 249: Guatemala1976_06.jpg score: 0.010458 / 1
img 250: Guatemala1976_07.jpg score: 1.363 / 3
img 251: Guatemala1976_08.jpg score: 1.80386 / 3
img 252: Guatemala1976_09.jpg score: 5.10284 / 8
img 253: Guatemala1976_10.jpg score: 0.73357 / 3
img 254: Guatemala1976_11.jpg score: 0.038835 / 1
img 255: GujaratIndia2001_01.jpg score: 1.47333 / 4
img 256: Haiti2010_01.jpg score: 1.69875 / 5
img 257: Haiti2010_02.jpg score: 1.2569 / 2
img 258: Haiti2010_03.jpg score: 1.28066 / 4
img 259: Haiti2010_04.jpg score: 0.595863 / 3
img 260: Haiti2010_05.jpg score: 1.39199 / 4
img 261: Haiti2010_06.jpg score: 3.07845 / 7
img 262: ImperialValley1979_01.jpg score: 8.48278 / 11
img 263: ImperialValley1979_02.jpg score: 2.51977 / 6
img 264: ImperialValley1979_03.jpg score: 3.11656 / 7
img 265: Izmit1999_01.jpg score: 2.48623 / 5
img 266: Izmit1999_02.jpg score: 0.68932 / 1
img 267: Izmit1999_03.jpg score: 4.12474 / 8
img 268: Izmit1999_04.jpg score: 4.00094 / 10
img 269: Izmit1999_05.jpg score: 0.556612 / 1
img 270: Izmit1999_06.jpg score: 1.97029 / 6
img 271: Izmit1999_07.jpg score: 2.73575 / 7
img 272: Izmit1999_08.jpg score: 2.63492 / 7
img 273: Izmit1999_09.jpg score: 3.61885 / 6
img 274: Izmit1999_10.jpg score: 5.25953 / 11
img 275: Izmit1999_11.jpg score: 1.86559 / 5
img 276: Izmit1999_12.jpg score: 9.33022 / 18
